"nen","keibajo_name","kaisai_kai","kaisai_nichime","race_bango","kaisai_bi","grade"
"2019","京都","03","06",5,"2019/05/05",""
"2019","京都","03","12",2,"2019/05/26",""
"2019","東京","03","04",5,"2019/06/09",""
"2019","阪神","03","05",6,"2019/06/15",""
"2019","福島","02","01",1,"2019/06/29",""
"2019","中京","03","03",7,"2019/07/06",""
"2019","新潟","02","10",11,"2019/08/25","G3"
"2019","中山","04","07",8,"2019/09/22","OP"
"2020","京都","01","02",2,"2020/01/06",""
"2020","東京","01","02",9,"2020/02/02","OP"
"2020","京都","02","02",1,"2020/02/02",""
"2020","小倉","01","08",8,"2020/02/09",""
"2020","京都","02","07",3,"2020/02/22",""
"2020","中山","02","04",11,"2020/03/08","G2"
"2020","中山","03","01",6,"2020/03/28",""
"2020","阪神","02","06",3,"2020/04/12",""
"2020","中山","03","08",11,"2020/04/19","G1"
"2020","阪神","02","08",1,"2020/04/19",""
"2020","東京","02","12",11,"2020/05/31","G1"
"2020","阪神","03","06",5,"2020/06/21",""
"2020","東京","03","08",2,"2020/06/28",""
"2020","福島","02","04",6,"2020/07/12",""
"2020","阪神","04","05",5,"2020/07/18",""
"2020","阪神","04","05",8,"2020/07/18",""
"2020","函館","02","06",4,"2020/07/19",""
"2020","新潟","02","05",9,"2020/08/08","OP"
"2020","新潟","03","01",5,"2020/08/15",""
"2020","札幌","02","02",4,"2020/08/16",""
"2020","小倉","02","02",7,"2020/08/16",""
"2020","新潟","03","06",11,"2020/08/30","G3"
"2020","札幌","02","07",4,"2020/09/05",""
"2020","札幌","02","07",8,"2020/09/05",""
"2020","中京","02","02",3,"2020/09/13",""
"2020","中京","02","02",7,"2020/09/13",""
"2020","中京","02","05",5,"2020/09/21",""
"2020","中山","04","09",10,"2020/10/04","OP"
"2020","中京","02","09",7,"2020/10/04",""
"2020","京都","04","01",2,"2020/10/10",""
"2020","京都","04","03",4,"2020/10/17",""
"2020","新潟","04","04",1,"2020/10/18",""
"2020","新潟","04","06",10,"2020/10/25","OP"
"2020","東京","04","06",5,"2020/10/25",""
"2020","京都","04","06",2,"2020/10/25",""
"2020","京都","04","07",9,"2020/10/31","L"
"2020","阪神","05","01",1,"2020/11/07",""
"2020","福島","03","04",5,"2020/11/08",""
"2020","阪神","05","03",3,"2020/11/14",""
"2020","東京","05","05",6,"2020/11/21",""
"2020","阪神","05","06",3,"2020/11/22",""
"2020","阪神","05","09",1,"2020/11/29",""
"2020","中京","03","01",12,"2020/12/05","OP"
"2020","中京","03","02",4,"2020/12/06",""
"2020","阪神","06","02",9,"2020/12/06","OP"
"2020","中山","05","04",10,"2020/12/13","OP"
"2020","阪神","06","04",1,"2020/12/13",""
"2020","中京","03","05",9,"2020/12/19",""
"2020","中京","03","06",1,"2020/12/20",""
"2020","中京","03","06",10,"2020/12/20","OP"
"2020","中山","05","07",11,"2020/12/26","G1"
"2021","中京","01","01",2,"2021/01/05",""
"2021","中山","01","03",9,"2021/01/10","OP"
"2021","中山","01","03",10,"2021/01/10","OP"
"2021","中京","01","08",7,"2021/01/24",""
"2021","小倉","01","04",6,"2021/01/24",""
"2021","小倉","01","07",3,"2021/02/06",""
"2021","小倉","01","07",12,"2021/02/06","OP"
"2021","東京","01","04",4,"2021/02/07",""
"2021","中京","01","12",1,"2021/02/07",""
"2021","中山","02","01",11,"2021/02/27","OP"
"2021","阪神","01","06",2,"2021/02/28",""
"2021","阪神","01","07",5,"2021/03/06",""
"2021","阪神","01","11",11,"2021/03/20","L"
"2021","中山","03","01",5,"2021/03/27",""
"2021","阪神","02","02",2,"2021/03/28",""
"2021","中山","03","03",11,"2021/04/03","G3"
"2021","阪神","02","04",2,"2021/04/04",""
"2021","中山","03","05",7,"2021/04/10",""
"2021","中山","03","07",6,"2021/04/17",""
"2021","中山","03","08",11,"2021/04/18","G1"
"2021","新潟","01","05",6,"2021/04/24",""
"2021","阪神","02","09",8,"2021/04/24",""
"2021","中京","03","02",10,"2021/05/09","L"
"2021","中京","03","03",2,"2021/05/15",""
"2021","新潟","02","04",2,"2021/05/16",""
"2021","中京","03","07",4,"2021/05/29",""
"2021","中京","03","07",11,"2021/05/29","OP"
"2021","中京","04","03",2,"2021/06/12",""
"2021","札幌","01","02",9,"2021/06/13",""
"2021","東京","03","05",5,"2021/06/19",""
"2021","阪神","03","01",7,"2021/06/19",""
"2021","札幌","01","04",5,"2021/06/20",""
"2021","阪神","03","02",3,"2021/06/20",""
"2021","阪神","03","03",5,"2021/06/26",""
"2021","札幌","01","06",9,"2021/06/27",""
"2021","東京","03","08",5,"2021/06/27",""
"2021","東京","03","08",6,"2021/06/27",""
"2021","阪神","03","04",8,"2021/06/27","OP"
"2021","函館","01","02",1,"2021/07/04",""
"2021","函館","01","02",5,"2021/07/04",""
"2021","函館","01","02",6,"2021/07/04",""
"2021","福島","01","02",11,"2021/07/04","G3"
"2021","小倉","03","02",12,"2021/07/04",""
"2021","函館","01","03",5,"2021/07/10",""
"2021","福島","01","03",1,"2021/07/10",""
"2021","函館","01","05",1,"2021/07/17",""
"2021","福島","01","05",5,"2021/07/17",""
"2021","函館","01","06",5,"2021/07/18",""
"2021","函館","01","06",9,"2021/07/18","OP"
"2021","小倉","03","06",5,"2021/07/18",""
"2021","函館","01","07",1,"2021/07/24",""
"2021","新潟","03","01",9,"2021/07/24","OP"
"2021","函館","01","08",8,"2021/07/25",""
"2021","新潟","03","02",1,"2021/07/25",""
"2021","函館","01","10",1,"2021/08/01",""
"2021","新潟","03","04",6,"2021/08/01",""
"2021","函館","01","11",1,"2021/08/07",""
"2021","新潟","03","05",5,"2021/08/07",""
"2021","函館","01","12",1,"2021/08/08",""
"2021","札幌","02","01",10,"2021/08/14","OP"
"2021","小倉","04","01",9,"2021/08/14","OP"
"2021","新潟","04","02",3,"2021/08/15",""
"2021","小倉","04","02",7,"2021/08/15",""
"2021","小倉","04","03",6,"2021/08/21",""
"2021","札幌","02","04",5,"2021/08/22",""
"2021","札幌","02","04",10,"2021/08/22","OP"
"2021","札幌","02","06",8,"2021/08/29",""
"2021","小倉","04","06",5,"2021/08/29",""
"2021","札幌","02","07",5,"2021/09/04",""
"2021","札幌","02","07",11,"2021/09/04","G3"
"2021","新潟","04","07",2,"2021/09/04",""
"2021","札幌","02","08",1,"2021/09/05",""
"2021","小倉","04","08",11,"2021/09/05","G3"
"2021","中山","04","01",9,"2021/09/11","OP"
"2021","中京","05","01",5,"2021/09/11",""
"2021","中京","05","01",12,"2021/09/11",""
"2021","中山","04","02",7,"2021/09/12",""
"2021","中山","04","03",2,"2021/09/18",""
"2021","中山","04","03",3,"2021/09/18",""
"2021","中京","05","03",3,"2021/09/18",""
"2021","中京","05","03",4,"2021/09/18",""
"2021","中京","05","05",3,"2021/09/20",""
"2021","中京","05","06",9,"2021/09/25","OP"
"2021","中山","04","07",4,"2021/09/26",""
"2021","中山","04","07",7,"2021/09/26",""
"2021","中京","05","07",12,"2021/09/26",""
"2021","中山","04","08",2,"2021/10/02",""
"2021","中京","05","08",2,"2021/10/02",""
"2021","中京","05","08",10,"2021/10/02","OP"
"2021","東京","04","01",11,"2021/10/09","G3"
"2021","阪神","04","01",1,"2021/10/09",""
"2021","阪神","04","01",5,"2021/10/09",""
"2021","新潟","05","03",8,"2021/10/16",""
"2021","阪神","04","03",3,"2021/10/16",""
"2021","新潟","05","04",5,"2021/10/17",""
"2021","東京","04","04",4,"2021/10/17",""
"2021","東京","04","04",5,"2021/10/17",""
"2021","新潟","05","05",10,"2021/10/23","OP"
